"H, A/m","Upper B, T","Lower B, T"
-1970.5594111882237,-0.49005085586770414,-0.49005369149084965
-1970.4794095881919,-0.49005045606739117,-0.49005329956616733
-1970.3994079881597,-0.4900500562351,-0.49005290761044695
-1970.3194063881278,-0.4900496563708267,-0.4900525156236849
-1970.2394047880957,-0.49004925647456743,-0.49005212360587747
-1970.1594031880638,-0.49004885654631836,-0.4900517315570209
-1970.0794015880317,-0.49004845658607565,-0.4900513394771116
-1969.9993999879998,-0.49004805659383555,-0.49005094736614585
-1969.9193983879677,-0.49004765656959404,-0.4900505552241199
-1969.8393967879358,-0.49004725651334746,-0.4900501630510301
-1969.7593951879037,-0.4900468564250918,-0.4900497708468728
-1969.6793935878718,-0.4900464563048234,-0.49004937861164427
-1969.5993919878397,-0.49004605615253827,-0.49004898634534083
-1969.5193903878078,-0.4900456559682327,-0.49004859404795875
-1969.4393887877757,-0.49004525575190266,-0.49004820171949437
-1969.3593871877438,-0.4900448555035445,-0.49004780935994396
-1969.2793855877117,-0.4900444552231542,-0.4900474169693039
-1969.1993839876798,-0.4900440549107281,-0.4900470245475704
-1969.1193823876476,-0.4900436545662622,-0.4900466320947398
-1969.0393807876158,-0.49004325418975275,-0.4900462396108085
-1968.9593791875839,-0.49004285378119583,-0.49004584709577265
-1968.8793775875517,-0.4900424533405876,-0.49004545454962867
-1968.7993759875199,-0.4900420528679243,-0.49004506197237274
-1968.7193743874877,-0.490041652363202,-0.4900446693640013
-1968.6393727874558,-0.49004125182641683,-0.49004427672451056
-1968.5593711874237,-0.490040851257565,-0.4900438840538968
-1968.4793695873918,-0.4900404506566427,-0.49004349135215647
-1968.3993679873597,-0.4900400500236459,-0.4900430986192857
-1968.3193663873278,-0.490039649358571,-0.4900427058552808
-1968.2393647872957,-0.4900392486614139,-0.4900423130601382
-1968.1593631872638,-0.4900388479321709,-0.49004192023385407
-1968.0793615872317,-0.4900384471708381,-0.49004152737642476
-1967.9993599871998,-0.49003804637741166,-0.4900411344878466
-1967.9193583871677,-0.49003764555188767,-0.4900407415681158
-1967.8393567871358,-0.49003724469426235,-0.49004034861722867
-1967.7593551871037,-0.49003684380453183,-0.49003995563518155
-1967.6793535870718,-0.4900364428826922,-0.49003956262197074
-1967.5993519870397,-0.4900360419287396,-0.49003916957759247
-1967.5193503870078,-0.49003564094267027,-0.49003877650204314
-1967.4393487869756,-0.4900352399244803,-0.4900383833953189
-1967.3593471869438,-0.49003483887416577,-0.4900379902574161
-1967.2793455869116,-0.4900344377917229,-0.4900375970883311
-1967.1993439868797,-0.4900340366771478,-0.49003720388806016
-1967.1193423868476,-0.49003363553043655,-0.4900368106565995
-1967.0393407868157,-0.49003323435158536,-0.49003641739394543
-1966.9593391867838,-0.4900328331405904,-0.4900360241000943
-1966.8793375867517,-0.4900324318974477,-0.4900356307750423
-1966.7993359867198,-0.4900320306221535,-0.4900352374187858
-1966.7193343866877,-0.4900316293147039,-0.4900348440313211
-1966.6393327866558,-0.49003122797509496,-0.4900344506126444
-1966.5593311866237,-0.4900308266033229,-0.49003405716275206
-1966.4793295865918,-0.4900304251993839,-0.4900336636816403
-1966.3993279865597,-0.4900300237632739,-0.4900332701693055
-1966.3193263865278,-0.49002962229498925,-0.4900328766257438
-1966.2393247864957,-0.490029220794526,-0.49003248305095165
-1966.1593231864638,-0.4900288192618802,-0.4900320894449252
-1966.0793215864317,-0.4900284176970481,-0.4900316958076608
