"H, A/m","B, T"
-17.50750750750751,-0.12221582038417947
-17.447447447447445,-0.12182571294632949
-17.387387387387385,-0.12143479166342462
-17.327327327327325,-0.12104305391036184
-17.267267267267265,-0.12065049705047422
-17.207207207207205,-0.12025711843546605
-17.147147147147145,-0.11986291540534746
-17.087087087087085,-0.11946788528836874
-17.027027027027025,-0.11907202540095425
-16.966966966966964,-0.11867533304763558
-16.906906906906904,-0.11827780552098463
-16.846846846846844,-0.117879440101546
-16.786786786786784,-0.1174802340577689
-16.726726726726724,-0.11708018464593879
-16.666666666666664,-0.11667928911010834
-16.606606606606604,-0.11627754468202794
-16.546546546546544,-0.11587494858107591
-16.486486486486484,-0.1154714980141881
-16.426426426426424,-0.11506719017578687
-16.366366366366364,-0.11466202224770974
-16.306306306306304,-0.11425599139913775
-16.246246246246244,-0.11384909478652275
-16.186186186186184,-0.11344132955351477
-16.126126126126124,-0.11303269283088854
-16.066066066066064,-0.1126231817364696
-16.006006006006004,-0.11221279337505996
-15.945945945945946,-0.11180152483836309
-15.885885885885886,-0.11138937320490842
-15.825825825825826,-0.11097633553997552
-15.765765765765765,-0.11056240889551752
-15.705705705705705,-0.11014759031008395
-15.645645645645645,-0.10973187680874326
-15.585585585585585,-0.10931526540300472
-15.525525525525525,-0.10889775309073957
-15.465465465465465,-0.1084793368561019
-15.405405405405405,-0.10806001366944878
-15.345345345345345,-0.10763978048725996
-15.285285285285285,-0.10721863425205687
-15.225225225225225,-0.10679657189232113
-15.165165165165165,-0.10637359032241236
-15.105105105105105,-0.10594968644248567
-15.045045045045045,-0.10552485713840831
-14.984984984984985,-0.1050990992816758
-14.924924924924925,-0.1046724097293274
-14.864864864864865,-0.10424478532386118
-14.804804804804805,-0.10381622289314835
-14.744744744744745,-0.10338671925034686
-14.684684684684685,-0.1029562711938145
-14.624624624624625,-0.10252487550702152
-14.564564564564565,-0.1020925289584623
-14.504504504504505,-0.10165922830156672
-14.444444444444445,-0.1012249702746105
-14.384384384384385,-0.10078975160062534
-14.324324324324325,-0.10035356898730809
-14.264264264264265,-0.09991641912692943
-14.204204204204204,-0.09947829869624161
-14.144144144144144,-0.09903920435638605
-14.084084084084084,-0.09859913275279972
-14.024024024024024,-0.09815808051512112
-13.963963963963963,-0.09771604425709546
-13.903903903903903,-0.09727302057647942
-13.843843843843842,-0.09682900605494482
-13.783783783783782,-0.0963839972579818
-13.723723723723722,-0.09593799073480125
-13.663663663663662,-0.0954909830182366
-13.603603603603602,-0.0950429706246448
-13.543543543543542,-0.09459395005380658
-13.483483483483482,-0.09414391778882594
-13.423423423423422,-0.09369287029602909
-13.363363363363362,-0.0932408040248624
-13.303303303303302,-0.09278771540778971
-13.243243243243242,-0.09233360086018888
-13.183183183183182,-0.09187845678024753
-13.123123123123122,-0.09142227954885826
-13.063063063063062,-0.0909650655295125
-13.003003003003002,-0.09050681106819419
-12.942942942942942,-0.09004825545805248
-12.882882882882882,-0.08959029646087911
-12.822822822822822,-0.08913293247380369
-12.762762762762762,-0.08867615984983804
-12.702702702702702,-0.08821997495584055
-12.642642642642642,-0.08776437417241015
-12.582582582582582,-0.08730935389378075
-12.522522522522522,-0.08685491052771663
-12.462462462462462,-0.08640104049540849
-12.402402402402402,-0.0859477402313701
-12.342342342342342,-0.08549500618333564
-12.282282282282281,-0.08504283481215777
-12.222222222222221,-0.0845912225917064
-12.162162162162161,-0.08414016600876797
-12.102102102102101,-0.0836896615629456
-12.042042042042041,-0.08323970576655962
-11.981981981981981,-0.0827902951445491
-11.921921921921921,-0.08234142623437368
-11.861861861861861,-0.08189309558591618
-11.801801801801801,-0.08144529976138581
-11.741741741741741,-0.08099803533522221
-11.681681681681681,-0.0805512988939996
-11.621621621621621,-0.08010508703633207
-11.561561561561561,-0.0796593963727791
-11.501501501501501,-0.07921422352575205
-11.441441441441441,-0.07876956512942074
-11.381381381381381,-0.07832541782962106
-11.32132132132132,-0.07788177828376294
-11.26126126126126,-0.07743864316073894
-11.2012012012012,-0.07699600914083346
-11.14114114114114,-0.0765538729156324
-11.08108108108108,-0.07611223118793342
-11.02102102102102,-0.07567108067165687
-10.96096096096096,-0.0752304180917571
-10.9009009009009,-0.07479024018413435
-10.84084084084084,-0.07435054369554733
-10.78078078078078,-0.07391132538352606
-10.72072072072072,-0.07347258201628545
-10.66066066066066,-0.0730343103726394
-10.6006006006006,-0.07259650724191516
-10.54054054054054,-0.07215916942386862
-10.48048048048048,-0.0717222937285997
-10.42042042042042,-0.07128587697646853
-10.36036036036036,-0.07084991599801185
-10.3003003003003,-0.0704144076338603
-10.24024024024024,-0.06997934873465578
-10.18018018018018,-0.06954473616096948
-10.12012012012012,-0.06911056678322043
-10.06006006006006,-0.0686768374815945
-10.0,-0.0682435451459638
-9.93993993993994,-0.06781068667580648
-9.87987987987988,-0.0673782589801272
-9.81981981981982,-0.06694625897737795
-9.75975975975976,-0.06651468359537932
-9.6996996996997,-0.06608352977124207
-9.63963963963964,-0.06565279445128941
-9.57957957957958,-0.06522247459097952
-9.51951951951952,-0.06479256715482866
-9.45945945945946,-0.06436306911633444
-9.3993993993994,-0.06393397745789976
-9.33933933933934,-0.06350528917075726
-9.27927927927928,-0.06307700125489375
-9.21921921921922,-0.06264911071897551
-9.15915915915916,-0.06222161458027364
-9.0990990990991,-0.06179450986459019
-9.03903903903904,-0.061367793606184357
-8.97897897897898,-0.06094146284769912
-8.91891891891892,-0.06051551464008849
-8.85885885885886,-0.060089946042544945
-8.7987987987988,-0.05966475412242729
-8.73873873873874,-0.059239935955188915
-8.67867867867868,-0.05881548862430637
-8.618618618618619,-0.05839140922120847
-8.558558558558559,-0.057967694845205614
-8.498498498498499,-0.05754434260341946
-8.438438438438439,-0.057121349610713065
-8.378378378378379,-0.05669871298962131
-8.318318318318319,-0.05627642987028176
-8.258258258258259,-0.05585449739036569
-8.198198198198199,-0.055432912695009634
-8.138138138138139,-0.055011672936747316
-8.078078078078079,-0.05459077527544165
-8.018018018018019,-0.05417021687821736
-7.957957957957959,-0.05374999491939373
-7.897897897897899,-0.05333010658041788
-7.837837837837839,-0.052910549049798215
-7.777777777777779,-0.05249131952303811
-7.7177177177177185,-0.052072415202570235
-7.6576576576576585,-0.051653833297690854
-7.5975975975975985,-0.051235571024494664
-7.537537537537538,-0.05081762560580975
-7.477477477477478,-0.05039999427113301
-7.417417417417418,-0.04998267425656587
-7.357357357357358,-0.04956566280475019
-7.297297297297298,-0.04914895716480442
-7.237237237237238,-0.048732554592260335
-7.177177177177178,-0.04831645234899972
-7.117117117117118,-0.04790064770319158
-7.057057057057058,-0.04748513792922947
-6.996996996996998,-0.04706992030766918
-6.936936936936938,-0.0466549921251668
-6.876876876876878,-0.046240350674416744
-6.816816816816818,-0.0458259932540904
-6.756756756756758,-0.04541191716877483
-6.696696696696698,-0.04499811972891182
-6.636636636636638,-0.044584598250737136
-6.576576576576578,-0.04417135005622008
-6.516516516516518,-0.04375837247300324
-6.456456456456458,-0.04334566283434261
-6.396396396396398,-0.042933218479047845
-6.336336336336338,-0.04252103675142277
-6.276276276276278,-0.04210911500120619
-6.216216216216218,-0.041697450583512936
-6.1561561561561575,-0.0412860408587751
-6.0960960960960975,-0.040874883192683495
-6.0360360360360374,-0.04046397495612939
-5.975975975975977,-0.040053313525146496
-5.915915915915917,-0.03964289628085315
-5.855855855855857,-0.039232720609394645
-5.795795795795797,-0.03882278390188588
-5.735735735735737,-0.038413083554354216
-5.675675675675677,-0.038003616967682535
-5.615615615615617,-0.03759438154755246
-5.555555555555557,-0.03718537470438785
-5.495495495495497,-0.03677659385329846
-5.435435435435437,-0.03636803641402393
-5.375375375375377,-0.03595969981087767
-5.315315315315317,-0.035551581472691315
-5.255255255255257,-0.035143678832759116
-5.195195195195197,-0.03473598932878269
-5.135135135135137,-0.03432851040281578
-5.075075075075077,-0.03392123950120936
-5.015015015015017,-0.033514174074556924
-4.954954954954953,-0.03310731157763982
-4.894894894894893,-0.03270064946937292
-4.834834834834833,-0.032294185212750307
-4.774774774774773,-0.03188791627479137
-4.714714714714713,-0.0314818401264868
-4.654654654654653,-0.03107595424274502
-4.594594594594593,-0.030670256102338513
-4.534534534534533,-0.030264743187850572
-4.474474474474473,-0.029859412985622044
-4.414414414414413,-0.029454262985698317
-4.354354354354353,-0.02904929068177639
-4.294294294294293,-0.028644493571152264
-4.234234234234233,-0.028239869154668217
-4.174174174174173,-0.027835414936660502
-4.114114114114113,-0.02743112842490701
-4.054054054054053,-0.02702700713057525
-3.9939939939939926,-0.0266230485681702
-3.9339339339339325,-0.026219250255482676
-3.8738738738738725,-0.02581560971353746
-3.8138138138138125,-0.025412124466541876
-3.7537537537537524,-0.02500879204183426
-3.6936936936936924,-0.024605609969832784
-3.6336336336336323,-0.024202575783984187
-3.5735735735735723,-0.023799687020712862
-3.5135135135135123,-0.02339694121936982
-3.4534534534534522,-0.022994335922182134
-3.393393393393392,-0.022591868674201918
-3.333333333333332,-0.02218953702325622
-3.273273273273272,-0.02178733851989626
-3.213213213213212,-0.021385270717347395
-3.153153153153152,-0.02098333117145866
-3.093093093093092,-0.020581517440652973
-3.033033033033032,-0.020179827085876907
-2.972972972972972,-0.019778257670551046
-2.912912912912912,-0.019376806760520032
-2.852852852852852,-0.018975471924003125
-2.792792792792792,-0.018574250731544416
-2.7327327327327318,-0.018173140755963588
-2.6726726726726717,-0.017772139572306354
-2.6126126126126117,-0.017371244757795383
-2.5525525525525516,-0.016970453891780916
-2.4924924924924916,-0.01656976455569195
-2.4324324324324316,-0.016169174332986945
-2.3723723723723715,-0.01576868080910513
-2.3123123123123115,-0.015368281571417564
-2.2522522522522515,-0.014967974209178454
-2.1921921921921914,-0.014567756313476378
-2.1321321321321314,-0.014167625477185877
-2.0720720720720713,-0.013767579294918716
-2.0120120120120113,-0.013367615362975642
-1.9519519519519513,-0.012967731279297852
-1.8918918918918912,-0.012567924643418826
-1.8318318318318312,-0.012168193056415935
-1.7717717717717711,-0.011768534120862463
-1.711711711711711,-0.011368945440779273
-1.651651651651651,-0.010969424621586975
-1.591591591591591,-0.010569969270057766
-1.531531531531531,-0.010170576994267613
-1.471471471471471,-0.009771245403548262
-1.411411411411411,-0.009371972108439555
-1.3513513513513509,-0.008972754720641477
-1.2912912912912908,-0.008573590852966627
-1.2312312312312308,-0.008174478119292325
-1.1711711711711708,-0.007775414134513194
-1.1111111111111107,-0.007376396514493337
-1.0510510510510507,-0.006977422876019011
-0.9909909909909906,-0.006578490836750911
-0.9309309309309306,-0.006179598015176847
-0.8708708708708706,-0.005780742030564168
-0.8108108108108105,-0.0053819205029125225
-0.7507507507507505,-0.00498313105290623
-0.6906906906906904,-0.004584371301867209
-0.6306306306306304,-0.004185638871707399
-0.5705705705705704,-0.0037869313848816546
-0.5105105105105103,-0.0033882464643403
-0.4504504504504503,-0.0029895817334820857
-0.39039039039039025,-0.0025909348161066437
-0.3303303303303302,-0.002192303336367614
-0.2702702702702702,-0.0017936849187251344
-0.21021021021021014,-0.0013950771878988646
-0.1501501501501501,-0.0009964777688206208
-0.09009009009009006,-0.0005978842865873996
-0.03003003003003002,-0.00019929436641398512
0.03003003003003002,0.00019929436641398512
0.09009009009009006,0.0005978842865873996
0.1501501501501501,0.0009964777688206208
0.21021021021021014,0.0013950771878988646
0.2702702702702702,0.0017936849187251344
0.3303303303303302,0.002192303336367614
0.39039039039039025,0.0025909348161066437
0.4504504504504503,0.0029895817334820857
0.5105105105105103,0.0033882464643403
0.5705705705705704,0.0037869313848816546
0.6306306306306304,0.004185638871707399
0.6906906906906904,0.004584371301867209
0.7507507507507505,0.00498313105290623
0.8108108108108105,0.0053819205029125225
0.8708708708708706,0.005780742030564168
0.9309309309309306,0.006179598015176847
0.9909909909909906,0.006578490836750911
1.0510510510510507,0.006977422876019011
1.1111111111111107,0.007376396514493337
1.1711711711711708,0.007775414134513194
1.2312312312312308,0.008174478119292325
1.2912912912912908,0.008573590852966627
1.3513513513513509,0.008972754720641477
1.411411411411411,0.009371972108439555
1.471471471471471,0.009771245403548262
1.531531531531531,0.010170576994267613
1.591591591591591,0.010569969270057766
1.651651651651651,0.010969424621586975
1.711711711711711,0.011368945440779273
1.7717717717717711,0.011768534120862463
1.8318318318318312,0.012168193056415935
1.8918918918918912,0.012567924643418826
1.9519519519519513,0.012967731279297852
2.012012012012015,0.013367615362975656
2.072072072072075,0.013767579294918744
2.132132132132135,0.014167625477185898
2.192192192192195,0.014567756313476406
2.252252252252255,0.014967974209178468
2.312312312312315,0.015368281571417591
2.372372372372375,0.015768680809105158
2.432432432432435,0.016169174332986973
2.492492492492495,0.016569764555691972
2.552552552552555,0.016970453891780958
2.6126126126126152,0.01737124475779539
2.6726726726726753,0.01777213957230639
2.7327327327327353,0.018173140755963622
2.7927927927927954,0.018574250731544444
2.8528528528528554,0.018975471924003146
2.9129129129129154,0.019376806760520067
2.9729729729729755,0.01977825767055106
3.0330330330330355,0.020179827085876935
3.0930930930930955,0.020581517440653
3.1531531531531556,0.02098333117145869
3.2132132132132156,0.0213852707173474
3.2732732732732757,0.02178733851989629
3.3333333333333357,0.022189537023256233
3.3933933933933957,0.022591868674201952
3.453453453453456,0.022994335922182148
3.513513513513516,0.023396941219369853
3.573573573573576,0.023799687020712876
3.633633633633636,0.024202575783984215
3.693693693693696,0.024605609969832798
3.753753753753756,0.025008792041834288
3.813813813813816,0.02541212446654189
3.873873873873876,0.025815609713537496
